epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.931,2.1,2.83397,1.09602,0.261,0.37016,0.25633,0.16976,1.30303,inf,0.8658,0.00023,0.00023,0.00023
2,21.7726,1.40776,1.37312,0.90046,0.00733,0.01801,0.00401,0.00182,nan,nan,nan,0.000465347,0.000465347,0.000465347
3,30.5457,1.37614,1.28032,0.87586,0,0,0,0,nan,nan,nan,0.000695942,0.000695942,0.000695942
4,39.0486,1.46784,1.27356,0.89771,9e-05,9e-05,5e-05,0,nan,nan,nan,0.000921785,0.000921785,0.000921785
5,46.9398,1.36093,1.21953,0.87716,0.10591,0.13063,0.05224,0.03499,1.53916,17.4142,0.94881,0.0009604,0.0009604,0.0009604
6,54.9486,1.34125,1.22298,0.88032,0.2325,0.28508,0.22781,0.13956,1.57139,1.88704,0.93333,0.0009505,0.0009505,0.0009505
7,62.6767,1.21775,1.10136,0.85237,0.46224,0.55494,0.44401,0.29855,1.20864,1.44178,0.8574,0.0009406,0.0009406,0.0009406
8,70.8619,1.21474,1.15992,0.85478,0.60161,0.647,0.60962,0.44927,1.0228,1.16501,0.84018,0.0009307,0.0009307,0.0009307
9,78.9084,1.15354,1.1046,0.85418,0.56503,0.61293,0.58384,0.40613,1.04585,1.18425,0.8398,0.0009208,0.0009208,0.0009208
10,86.9589,1.17705,1.10091,0.85357,0.49357,0.68997,0.57283,0.38076,1.2606,1.21416,0.86383,0.0009109,0.0009109,0.0009109
11,94.9536,1.2628,1.12557,0.85156,0.5803,0.6007,0.59319,0.40416,1.14172,1.18376,0.84684,0.000901,0.000901,0.000901
12,103.239,1.20753,1.06332,0.85314,0.61985,0.67797,0.6359,0.4676,1.04218,1.05552,0.84232,0.0008911,0.0008911,0.0008911
13,111.516,1.12436,1.06172,0.84522,0.59919,0.66521,0.63861,0.4446,1.10645,1.02543,0.83699,0.0008812,0.0008812,0.0008812
14,119.142,1.16319,1.106,0.83665,0.52639,0.65983,0.60094,0.41356,1.13139,1.06668,0.84493,0.0008713,0.0008713,0.0008713
15,127.059,1.09196,1.04936,0.83598,0.59985,0.65952,0.61852,0.44803,1.05173,1.12361,0.83997,0.0008614,0.0008614,0.0008614
16,134.704,1.11052,1.061,0.84413,0.5883,0.66809,0.61446,0.46064,0.93703,0.96557,0.82825,0.0008515,0.0008515,0.0008515
17,142.407,1.11457,1.03076,0.83952,0.55126,0.64807,0.60307,0.41976,1.13038,1.07506,0.84394,0.0008416,0.0008416,0.0008416
18,150.043,1.10753,0.99508,0.83736,0.59282,0.68082,0.65386,0.42246,1.14136,1.03995,0.84446,0.0008317,0.0008317,0.0008317
19,157.695,1.13876,1.05344,0.84873,0.63175,0.69973,0.69152,0.51837,0.93892,0.94269,0.82832,0.0008218,0.0008218,0.0008218
20,165.694,1.11324,1.01194,0.84327,0.64139,0.70993,0.71869,0.53482,1.01758,0.98398,0.83089,0.0008119,0.0008119,0.0008119
21,173.773,1.18496,1.01073,0.85026,0.6851,0.66252,0.69052,0.51604,0.96296,0.94323,0.82803,0.000802,0.000802,0.000802
22,181.735,1.0776,0.99318,0.83123,0.68216,0.69509,0.70743,0.53087,0.95192,0.88862,0.82821,0.0007921,0.0007921,0.0007921
23,189.244,1.05389,0.96937,0.83425,0.68579,0.66679,0.69213,0.54177,0.87856,0.92528,0.82124,0.0007822,0.0007822,0.0007822
24,197.375,0.99662,0.98447,0.82919,0.66459,0.70129,0.71514,0.52942,0.96557,0.91181,0.83027,0.0007723,0.0007723,0.0007723
25,205.007,0.97735,0.89289,0.82756,0.6007,0.68714,0.68235,0.5227,0.89557,0.98842,0.82737,0.0007624,0.0007624,0.0007624
26,212.805,1.02583,0.95904,0.8227,0.61088,0.73732,0.71498,0.54757,0.89808,0.95611,0.82493,0.0007525,0.0007525,0.0007525
27,220.701,0.9939,0.92402,0.83309,0.64564,0.65849,0.68327,0.52008,0.9694,0.99876,0.82613,0.0007426,0.0007426,0.0007426
28,228.452,1.06494,0.95119,0.83406,0.65783,0.71064,0.72102,0.534,0.95094,0.92527,0.82993,0.0007327,0.0007327,0.0007327
29,236.066,0.96608,0.92878,0.82312,0.69949,0.72791,0.74546,0.56664,0.94576,0.85718,0.82726,0.0007228,0.0007228,0.0007228
30,243.962,0.98599,0.88196,0.82503,0.68877,0.70246,0.71631,0.55574,0.91339,0.86287,0.82277,0.0007129,0.0007129,0.0007129
31,251.673,0.99267,0.87201,0.82724,0.70764,0.71554,0.75164,0.59671,0.84127,0.86113,0.81665,0.000703,0.000703,0.000703
32,259.599,0.98281,0.90492,0.82794,0.71115,0.70849,0.74402,0.56839,0.87035,0.85231,0.82004,0.0006931,0.0006931,0.0006931
33,267.276,0.95871,0.90982,0.82774,0.67451,0.75428,0.7751,0.5802,0.93047,0.87643,0.829,0.0006832,0.0006832,0.0006832
34,274.874,0.93607,0.87729,0.82067,0.70062,0.71401,0.74031,0.5677,0.89485,0.84446,0.82232,0.0006733,0.0006733,0.0006733
35,282.784,0.94403,0.86618,0.8216,0.69646,0.71515,0.73648,0.57829,0.8574,0.84703,0.81939,0.0006634,0.0006634,0.0006634
36,290.349,0.94149,0.86787,0.81573,0.723,0.72391,0.74659,0.58321,0.86476,0.83421,0.82175,0.0006535,0.0006535,0.0006535
37,298.094,0.95553,0.89123,0.82533,0.70587,0.7149,0.73666,0.57453,0.85806,0.88851,0.81953,0.0006436,0.0006436,0.0006436
38,305.645,0.9593,0.85677,0.82647,0.62799,0.66323,0.65849,0.50008,0.87078,0.89698,0.82117,0.0006337,0.0006337,0.0006337
39,313.491,0.92975,0.86182,0.82237,0.7038,0.73989,0.75615,0.59466,0.84115,0.83447,0.81793,0.0006238,0.0006238,0.0006238
