epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/recall50(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,10.7982,2.1,2.83397,1.09602,0.261,0.37016,0.37016,0.25633,0.16976,1.30303,inf,0.8658,1,0.00023,0.00023,0.00023
2,21.7607,1.40971,1.37465,0.90083,0.00072,0.0018,0.0018,0.00036,0.00014,nan,nan,nan,1,0.000468449,0.000468449,0.000468449
3,29.7016,1.37419,1.27574,0.87579,0,0,0,0,0,nan,nan,nan,1,0.000705314,0.000705314,0.000705314
4,38.713,1.40177,1.28071,0.89034,0.1346,0.00809,0.00809,0.07141,0.04037,2.22458,inf,2.17053,1,0.000940595,0.000940595,0.000940595
5,46.8188,1.35116,1.21237,0.8753,0.42585,0.62336,0.67959,0.48945,0.32296,1.3118,1.81358,0.87338,5,0.0009868,0.0009868,0.0009868
6,54.8349,1.30909,1.18705,0.87374,0.434,0.53637,0.60857,0.41895,0.29234,1.27317,1.58275,0.877,5,0.0009835,0.0009835,0.0009835
7,62.481,1.26958,1.11947,0.85711,0.48432,0.63132,0.70956,0.53349,0.36233,1.19799,1.27559,0.86533,7,0.0009802,0.0009802,0.0009802
8,70.6687,1.30125,1.16931,0.86237,0.57843,0.63015,0.7177,0.60639,0.39899,1.28337,1.20245,0.86409,8,0.0009769,0.0009769,0.0009769
9,78.6639,1.2239,1.12459,0.86009,0.47715,0.6318,0.70668,0.52178,0.36272,1.20863,1.36134,0.84895,8,0.0009736,0.0009736,0.0009736
10,86.7868,1.17765,1.13217,0.84963,0.49017,0.66932,0.74631,0.56,0.41693,1.03299,1.19602,0.83959,10,0.0009703,0.0009703,0.0009703
11,94.8989,1.23593,1.12935,0.84902,0.54594,0.62069,0.72013,0.57699,0.38215,1.21801,1.19799,0.84887,10,0.000967,0.000967,0.000967
12,102.522,1.21106,1.10121,0.8558,0.55521,0.67032,0.72084,0.61496,0.4181,1.12871,1.15628,0.84527,12,0.0009637,0.0009637,0.0009637
13,110.573,1.14523,1.11759,0.8464,0.57155,0.67914,0.77743,0.65634,0.48129,1.03942,1.17552,0.83768,13,0.0009604,0.0009604,0.0009604
14,118.518,1.14005,1.11562,0.83759,0.61262,0.59269,0.65302,0.60276,0.41721,1.03498,1.21975,0.83635,13,0.0009571,0.0009571,0.0009571
15,126.184,1.09605,1.02068,0.835,0.62856,0.67219,0.77143,0.66103,0.48809,0.99821,1.02463,0.83733,15,0.0009538,0.0009538,0.0009538
16,134.128,1.13331,1.02094,0.84754,0.65301,0.66498,0.78022,0.669,0.50303,0.94285,0.96744,0.83051,16,0.0009505,0.0009505,0.0009505
17,142.297,1.07021,1.00435,0.83753,0.52092,0.60691,0.68425,0.5582,0.41687,0.94765,1.18339,0.82804,16,0.0009472,0.0009472,0.0009472
18,150.469,1.14296,1.00655,0.84017,0.61449,0.69587,0.79268,0.68192,0.47481,1.12936,1.01406,0.84052,16,0.0009439,0.0009439,0.0009439
19,158.159,1.11499,1.01862,0.8472,0.66771,0.70409,0.82861,0.70006,0.53194,0.97538,0.93964,0.8286,19,0.0009406,0.0009406,0.0009406
20,166.748,1.13462,1.01824,0.84434,0.68385,0.6931,0.82774,0.72205,0.55378,0.92589,0.9463,0.82535,20,0.0009373,0.0009373,0.0009373
21,175.517,1.15094,1.01437,0.84626,0.67705,0.64249,0.74277,0.67428,0.47715,1.05853,1.01344,0.83685,20,0.000934,0.000934,0.000934
22,183.935,1.07749,1.00825,0.83164,0.63881,0.70904,0.83138,0.70113,0.52366,1.03843,0.98187,0.83322,20,0.0009307,0.0009307,0.0009307
23,191.846,1.09164,0.99207,0.83815,0.65003,0.66376,0.78731,0.68163,0.46708,1.10923,0.9854,0.84058,20,0.0009274,0.0009274,0.0009274
24,199.527,1.04518,0.99241,0.83275,0.63272,0.68757,0.78602,0.6741,0.49228,0.99072,0.92163,0.83193,20,0.0009241,0.0009241,0.0009241
25,207.276,1.02515,0.93351,0.83062,0.65635,0.67169,0.75925,0.69126,0.52673,0.92517,0.98337,0.82694,20,0.0009208,0.0009208,0.0009208
26,214.922,1.08509,0.96785,0.82802,0.66481,0.70094,0.798,0.70373,0.52965,0.95518,0.92959,0.82406,20,0.0009175,0.0009175,0.0009175
27,222.587,1.04672,0.95392,0.83531,0.63753,0.67953,0.7911,0.68516,0.52427,0.89574,0.99933,0.82699,20,0.0009142,0.0009142,0.0009142
28,230.229,1.10188,0.98365,0.83676,0.68882,0.7023,0.81439,0.7298,0.51067,1.11064,0.92867,0.84348,20,0.0009109,0.0009109,0.0009109
29,237.939,1.02345,0.97872,0.82873,0.68919,0.7079,0.8158,0.72117,0.54729,0.92131,0.89064,0.82302,20,0.0009076,0.0009076,0.0009076
30,245.558,0.99018,0.9021,0.82586,0.66797,0.64561,0.75674,0.66218,0.5028,0.93615,1.00778,0.82949,20,0.0009043,0.0009043,0.0009043
31,253.281,1.00011,0.91521,0.82853,0.68186,0.70787,0.81481,0.72768,0.54226,0.93386,0.90217,0.82337,20,0.000901,0.000901,0.000901
32,260.891,0.98186,0.94513,0.83034,0.68978,0.66323,0.76921,0.68825,0.5293,0.93517,0.91937,0.82514,20,0.0008977,0.0008977,0.0008977
33,268.527,1.03322,0.97486,0.83489,0.60675,0.69575,0.79925,0.70213,0.49727,1.09142,1.08737,0.84262,20,0.0008944,0.0008944,0.0008944
34,276.182,0.96341,0.91345,0.82279,0.65674,0.70062,0.81108,0.69486,0.53607,0.89449,0.94655,0.82126,20,0.0008911,0.0008911,0.0008911
35,284.08,0.99662,0.93133,0.82454,0.64497,0.67884,0.79537,0.67548,0.51464,0.94221,0.96575,0.82668,20,0.0008878,0.0008878,0.0008878
36,291.827,0.99373,0.91992,0.81937,0.69887,0.7212,0.82278,0.73533,0.57245,0.87213,0.8562,0.81873,36,0.0008845,0.0008845,0.0008845
37,299.74,1.0228,0.92849,0.83193,0.68762,0.73443,0.81986,0.7435,0.55775,1.00034,0.87724,0.8321,36,0.0008812,0.0008812,0.0008812
38,307.524,1.05734,0.90583,0.83358,0.67756,0.6224,0.73608,0.65379,0.49848,0.85439,0.91729,0.82118,36,0.0008779,0.0008779,0.0008779
39,315.353,0.98642,0.87744,0.82687,0.68924,0.72113,0.80072,0.73225,0.56718,0.86498,0.84562,0.82023,36,0.0008746,0.0008746,0.0008746
40,323.598,0.9636,0.8806,0.82567,0.70731,0.72406,0.82267,0.74856,0.59192,0.88484,0.82312,0.82223,40,0.0008713,0.0008713,0.0008713
41,331.873,0.98527,0.87958,0.82434,0.67292,0.70054,0.78488,0.7245,0.56871,0.85772,0.8805,0.8141,40,0.000868,0.000868,0.000868
42,339.504,1.00032,0.92866,0.82655,0.68644,0.73352,0.83866,0.75648,0.58493,0.86167,0.87257,0.81947,40,0.0008647,0.0008647,0.0008647
43,347.165,0.94298,0.84153,0.81619,0.68075,0.70967,0.81313,0.70898,0.55334,0.87913,0.89013,0.81825,40,0.0008614,0.0008614,0.0008614
