epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/precision@0.4(B),metrics/recall@0.4(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,best_epoch,lr/pg0,lr/pg1,lr/pg2
1,9.02322,5.91003,26.8156,3.51148,0,0,0.6,0,0,0,4.52127,60.6579,2.62063,1,0.00023,0.00023,0.00023
2,17.1845,6.73044,11.4662,3.52674,0,0,1,0,0,0,6.32346,25.8511,3.30441,2,0.000468449,0.000468449,0.000468449
3,25.6515,5.85254,4.94468,2.58242,0,0,1,0,0,0,4.67598,4.23626,2.23096,3,0.000705314,0.000705314,0.000705314
4,33.8106,4.48243,3.70921,1.97296,0,0,1,0,0,0,3.33625,3.42926,1.26173,4,0.000940595,0.000940595,0.000940595
5,42.6449,4.29767,3.46971,1.69604,0.00439,0.0068,1,0,0.00231,0.00052,3.65141,3.32561,1.39963,5,0.0009868,0.0009868,0.0009868
6,50.7227,4.07704,3.30307,1.60788,0.00141,0.00238,0.8,0,0.00077,0.0002,nan,nan,nan,5,0.0009835,0.0009835,0.0009835
7,58.7781,4.11198,3.16945,1.46831,0.00725,0.00721,0.8,0,0.00425,0.00132,nan,nan,nan,7,0.0009802,0.0009802,0.0009802
8,67.5658,4.20867,3.0257,1.40896,0.17829,0.01063,0.8,0,0.09206,0.03544,nan,nan,nan,8,0.0009769,0.0009769,0.0009769
9,76.624,4.06388,2.84584,1.49229,0.56299,0.02871,0.93985,0.00225,0.04249,0.01408,nan,nan,nan,8,0.0009736,0.0009736,0.0009736
10,84.9701,3.99873,2.7051,1.40062,0.54742,0.14859,0.8136,0.03012,0.11671,0.03308,nan,nan,nan,8,0.0009703,0.0009703,0.0009703
11,92.73,4.10627,2.70074,1.40265,0.07457,0.13425,0.75272,0.00696,0.06576,0.01347,3.78149,2.4483,1.48633,8,0.000967,0.000967,0.000967
12,100.275,3.96986,2.53275,1.42807,0.01711,0.01339,0.4184,0.00497,0.00601,0.00108,nan,nan,nan,8,0.0009637,0.0009637,0.0009637
13,108.263,3.4542,2.25704,1.33647,0.06838,0.08991,0.49786,0.06035,0.05833,0.01949,nan,nan,nan,8,0.0009604,0.0009604,0.0009604
14,116.318,3.23992,2.18808,1.27324,0.19365,0.20231,0.43369,0.07129,0.14135,0.05413,nan,nan,nan,14,0.0009571,0.0009571,0.0009571
15,124.827,2.97129,2.08828,1.24376,0.2398,0.32396,0.8279,0.12061,0.25052,0.12396,2.53086,1.99665,1.21062,15,0.0009538,0.0009538,0.0009538
16,133.373,2.97839,2.1727,1.23124,0.46604,0.26742,0.58898,0.12326,0.24878,0.12147,2.35697,1.99832,1.15411,15,0.0009505,0.0009505,0.0009505
17,141.79,2.64072,2.03981,1.17265,0.25133,0.37383,0.63833,0.19191,0.30033,0.16073,2.19218,1.87711,1.13559,17,0.0009472,0.0009472,0.0009472
18,150.399,2.6835,1.96624,1.14632,0.41281,0.31765,0.56988,0.20855,0.31184,0.16748,2.13664,1.75898,1.10221,18,0.0009439,0.0009439,0.0009439
19,159.764,2.48493,1.9765,1.13472,0.50006,0.30222,0.56245,0.24111,0.29213,0.15977,2.04125,1.93082,1.06955,18,0.0009406,0.0009406,0.0009406
20,168.471,2.56957,2.01097,1.12529,0.29758,0.36516,0.49962,0.22946,0.26421,0.1417,2.01824,1.88078,1.04141,18,0.0009373,0.0009373,0.0009373
21,176.998,2.48245,2.03472,1.12722,0.29606,0.41252,0.62693,0.21853,0.32495,0.17526,2.04695,1.79637,1.06194,21,0.000934,0.000934,0.000934
22,186.827,2.45856,1.92495,1.08468,0.31222,0.44084,0.66588,0.2228,0.35288,0.19303,2.04629,1.69156,1.05103,22,0.0009307,0.0009307,0.0009307
23,195.408,2.49124,1.93471,1.10394,0.3219,0.43308,0.68762,0.12315,0.33175,0.17986,1.89138,1.75339,1.03434,22,0.0009274,0.0009274,0.0009274
24,203.518,2.32821,1.89528,1.07879,0.32962,0.38573,0.66207,0.17345,0.31624,0.17577,1.92834,1.7604,1.03463,22,0.0009241,0.0009241,0.0009241
25,211.491,2.27252,1.82707,1.06605,0.36577,0.41255,0.55378,0.25405,0.3351,0.18843,1.88621,1.65682,1.00254,22,0.0009208,0.0009208,0.0009208
26,219.321,2.46991,1.89846,1.04821,0.32218,0.47205,0.64007,0.25028,0.36559,0.20598,1.8772,1.67102,1.02195,26,0.0009175,0.0009175,0.0009175
27,227.392,2.23333,1.78933,1.05035,0.36279,0.47639,0.71965,0.20591,0.37778,0.21292,1.8741,1.5668,1.00787,27,0.0009142,0.0009142,0.0009142
28,235.42,2.30572,1.87147,1.05285,0.37065,0.48077,0.6414,0.18242,0.38082,0.2259,1.74562,1.56486,1.00067,28,0.0009109,0.0009109,0.0009109
29,243.488,2.05541,1.71631,1.00788,0.3814,0.45173,0.65522,0.20691,0.37122,0.21646,1.85856,1.55566,0.99612,28,0.0009076,0.0009076,0.0009076
30,251.197,2.14695,1.73985,1.02217,0.38457,0.46149,0.67601,0.21296,0.38826,0.22934,1.83267,1.55063,0.98567,30,0.0009043,0.0009043,0.0009043
31,259.42,2.17351,1.75121,1.03248,0.33752,0.40293,0.84807,0.09029,0.31919,0.17516,1.85432,1.68385,1.01034,30,0.000901,0.000901,0.000901
32,267.082,2.02973,1.73497,1.0178,0.3455,0.49843,0.75981,0.14735,0.36421,0.21227,1.758,1.54511,0.99302,30,0.0008977,0.0008977,0.0008977
33,274.769,1.95083,1.64627,1.01055,0.41696,0.50311,0.65335,0.25754,0.41817,0.26222,1.60577,1.48106,0.9556,33,0.0008944,0.0008944,0.0008944
34,282.822,1.94087,1.61411,0.98577,0.40383,0.48913,0.68687,0.19358,0.39758,0.24732,1.60317,1.48326,0.95546,33,0.0008911,0.0008911,0.0008911
35,290.684,1.87078,1.57824,0.97482,0.40808,0.50994,0.74517,0.21738,0.42323,0.26837,1.60231,1.47194,0.96245,35,0.0008878,0.0008878,0.0008878
36,299.674,1.98053,1.65179,0.97224,0.40547,0.47082,0.65668,0.23744,0.38084,0.24227,1.58069,1.51994,0.95167,35,0.0008845,0.0008845,0.0008845
37,308.035,1.87167,1.58614,0.98595,0.38363,0.5114,0.76856,0.23438,0.41651,0.27512,1.52247,1.48687,0.94474,37,0.0008812,0.0008812,0.0008812
38,317.185,1.87802,1.61983,0.98131,0.46015,0.45271,0.76505,0.27412,0.40853,0.26789,1.5215,1.43994,0.9384,37,0.0008779,0.0008779,0.0008779
39,324.941,1.8913,1.60347,0.97657,0.42926,0.4898,0.72861,0.22461,0.40942,0.24861,1.67302,1.43032,0.95241,37,0.0008746,0.0008746,0.0008746
40,332.683,1.86628,1.57136,0.96463,0.41379,0.49371,0.77577,0.20143,0.41367,0.27854,1.4598,1.44147,0.92884,40,0.0008713,0.0008713,0.0008713
41,340.617,1.86133,1.61779,0.95771,0.45227,0.52889,0.72716,0.25594,0.44042,0.29158,1.476,1.35877,0.92603,41,0.000868,0.000868,0.000868
42,348.671,1.76583,1.50765,0.95536,0.4632,0.50962,0.76794,0.27678,0.46325,0.31632,1.43705,1.3517,0.92622,42,0.0008647,0.0008647,0.0008647
43,358.276,1.74201,1.4619,0.93746,0.45741,0.55114,0.72724,0.31425,0.479,0.32835,1.43016,1.32051,0.92237,43,0.0008614,0.0008614,0.0008614
44,367.48,1.6079,1.40413,0.93291,0.44474,0.53342,0.78047,0.29999,0.46142,0.32421,1.34256,1.30789,0.91843,43,0.0008581,0.0008581,0.0008581
45,375.208,1.67398,1.47267,0.94979,0.42294,0.53167,0.69683,0.30863,0.45661,0.30321,1.39814,1.34181,0.91815,43,0.0008548,0.0008548,0.0008548
46,382.863,1.65272,1.42736,0.92917,0.43841,0.53507,0.73692,0.2656,0.46072,0.31371,1.34834,1.31461,0.91681,43,0.0008515,0.0008515,0.0008515
47,390.53,1.67791,1.44682,0.92874,0.40101,0.47256,0.70321,0.29447,0.41532,0.24819,1.57137,1.42123,0.93668,43,0.0008482,0.0008482,0.0008482
48,398.359,1.66265,1.48454,0.94499,0.47887,0.55531,0.78937,0.27586,0.49667,0.33853,1.32526,1.27575,0.91693,48,0.0008449,0.0008449,0.0008449
49,406.744,1.59178,1.44071,0.92957,0.47777,0.55524,0.76723,0.30712,0.47991,0.33616,1.30195,1.27051,0.9097,48,0.0008416,0.0008416,0.0008416
50,414.873,1.63848,1.43032,0.94308,0.44271,0.53604,0.69275,0.34503,0.46823,0.32822,1.28849,1.27494,0.90384,48,0.0008383,0.0008383,0.0008383
51,422.617,1.59558,1.38307,0.92492,0.48431,0.55692,0.76226,0.31658,0.50904,0.35763,1.30568,1.25807,0.91002,51,0.000835,0.000835,0.000835
52,430.519,1.57177,1.39002,0.92287,0.50891,0.56791,0.779,0.32844,0.50293,0.34026,1.34459,1.23636,0.90778,51,0.0008317,0.0008317,0.0008317
53,438.535,1.62774,1.36743,0.9245,0.49193,0.55397,0.73992,0.3366,0.51132,0.35012,1.31346,1.2269,0.90351,51,0.0008284,0.0008284,0.0008284
